id,full_name,conference,division,arena
ATL,"Atlanta Hawks",E,SE,"State Farm Arena"
BOS,"Boston Celtics",E,ATL,"TD Garden"
BKN,"Brooklyn Nets",E,ATL,"Barclays Center"
CHA,"Charlotte Hornets",E,SE,"Spectrum Center"
CHI,"Chicago Bulls",E,CEN,"United Center"
CLE,"Cleveland Cavaliers",E,CEN,"Rocket Mortgage FieldHouse"
DAL,"Dallas Mavericks",W,SW,"American Airlines Center"
DEN,"Denver Nuggets",W,NW,"Ball Arena"
DET,"Detroit Pistons",E,CEN,"Little Caesars Arena"
GSW,"Golden State Warriors",W,PAC,"Chase Center"
HOU,"Houston Rockets",W,SW,"Toyota Center"
IND,"Indiana Pacers",E,CEN,"Gainbridge Fieldhouse"
LAC,"LA Clippers",W,PAC,"Crypto.com Arena"
LAL,"Los Angeles Lakers",W,PAC,"Crypto.com Arena"
LAL,"Los Angeles Lakers",W,PAC,"T-Mobile Arena"
MEM,"Memphis Grizzlies",W,SW,FedExForum
MIA,"Miami Heat",E,SE,"Kaseya Center"
MIL,"Milwaukee Bucks",E,CEN,"Fiserv Forum"
MIN,"Minnesota Timberwolves",W,NW,"Target Center"
NOR,"New Orleans Pelicans",W,SW,"Smoothie King Center"
NYK,"New York Knicks",E,ATL,"Madison Square Garden"
OKC,"Oklahoma City Thunder",W,NW,"Paycom Center"
ORL,"Orlando Magic",E,SE,"Kia Center"
PHI,"Philadelphia 76ers",E,ATL,"Wells Fargo Center"
PHO,"Phoenix Suns",W,PAC,"Footprint Center"
POR,"Portland Trail Blazers",W,NW,"Moda Center"
SAC,"Sacramento Kings",W,PAC,"Golden 1 Center"
SAS,"San Antonio Spurs",W,SW,"Frost Bank Center"
TOR,"Toronto Raptors",E,ATL,"Scotiabank Arena"
UTA,"Utah Jazz",W,NW,"Delta Center"
WAS,"Washington Wizards",E,SE,"Capital One Arena"
